City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,nantucket,41.2835,-70.0995,27.03,87,0,4.12,US,1694624687
1,port-aux-francais,-49.35,70.2167,0.36,67,100,16.1,TF,1694624913
2,longyearbyen,78.2186,15.6401,1.91,75,75,7.72,SJ,1694624914
3,hammerfest,70.6634,23.6821,6.25,87,75,7.72,NO,1694624872
4,utrik,11.2278,169.8474,28.3,77,22,6.69,MH,1694624914
5,iqaluit,63.7506,-68.5145,4.83,60,94,11.62,CA,1694624896
6,inhambane,-23.865,35.3833,18.55,63,61,4.13,MZ,1694624914
7,vadso,70.0744,29.7487,9.49,87,75,3.6,NO,1694624915
8,bilibino,68.0546,166.4372,3.5,78,98,1.59,RU,1694624915
9,kayenta,36.7278,-110.2546,18.93,54,9,0.68,US,1694624915
10,adamstown,-25.066,-130.1015,17.37,50,2,6.6,PN,1694624916
11,raducaneni,46.95,27.9333,25.42,42,20,2.82,RO,1694624916
12,albany,42.6001,-73.9662,20.36,92,100,0.58,US,1694624210
13,lompoc,34.6391,-120.4579,15.4,94,100,0.0,US,1694624916
14,kalach,50.4258,41.0261,14.39,54,93,2.37,RU,1694624916
15,olyokminsk,60.3736,120.4264,7.96,87,100,5.54,RU,1694624917
16,bredasdorp,-34.5322,20.0403,12.68,71,0,6.9,ZA,1694624917
17,new norfolk,-42.7826,147.0587,10.72,89,100,1.63,AU,1694624917
18,hawaiian paradise park,19.5933,-154.9731,25.5,86,0,0.0,US,1694624917
19,san antonio de pale,-1.4014,5.6325,23.78,79,77,4.79,GQ,1694624918
20,jamestown,42.097,-79.2353,18.03,67,40,6.17,US,1694624918
21,wailua homesteads,22.0669,-159.378,23.44,91,20,5.66,US,1694624918
22,polyarnyy,69.1989,33.4478,8.7,86,100,3.06,RU,1694624918
23,kodiak,57.79,-152.4072,6.73,93,100,2.06,US,1694624919
24,iskateley,67.6803,53.1512,15.63,75,87,8.67,RU,1694624919
25,ratnagiri,16.9833,73.3,25.95,84,40,1.02,IN,1694624919
26,waitangi,-43.9535,-176.5597,9.9,80,93,6.26,NZ,1694624919
27,kittila,67.6647,24.8936,9.08,87,20,1.54,FI,1694624920
28,east london,-33.0153,27.9116,20.05,62,4,10.45,ZA,1694624920
29,blackmans bay,-43.0167,147.3167,10.07,87,100,1.25,AU,1694624920
30,canosa di puglia,41.2196,16.0675,27.27,40,83,3.34,IT,1694624920
31,monclova,26.9,-101.4167,29.23,52,1,1.79,MX,1694624787
32,edinburgh of the seven seas,-37.0676,-12.3116,14.24,91,85,17.0,SH,1694624921
33,bethel,41.3712,-73.414,25.17,80,100,2.06,US,1694624921
34,yellowknife,62.456,-114.3525,17.88,39,98,3.62,CA,1694624921
35,jonesboro,35.8423,-90.7043,26.87,36,0,6.17,US,1694624684
36,north platte,41.1239,-100.7654,22.29,49,0,5.14,US,1694624704
37,ilulissat,69.2167,-51.1,4.41,73,100,5.27,GL,1694624922
38,tual,-5.6667,132.75,25.24,83,35,9.13,ID,1694624922
39,dos de mayo,-27.0228,-54.6867,11.49,97,100,2.88,AR,1694624701
40,juneau,58.3019,-134.4197,11.0,93,100,4.12,US,1694624705
41,stanley,54.868,-1.6985,14.88,70,20,2.57,GB,1694624923
42,invercargill,-46.4,168.35,12.23,67,100,6.26,NZ,1694624923
43,kangding,30.0513,101.9603,12.38,90,89,0.79,CN,1694624923
44,porto novo,6.4965,2.6036,24.54,90,99,4.66,BJ,1694624924
45,edd,13.9297,41.6925,33.18,64,5,5.34,ER,1694624924
46,puerto natales,-51.7236,-72.4875,4.22,78,100,1.91,CL,1694624924
47,mont-laurier,46.5501,-75.4993,17.79,69,99,3.3,CA,1694624725
48,holualoa,19.6228,-155.9522,24.37,69,0,2.68,US,1694624924
49,dzuunmod,48.2199,97.3744,8.42,76,100,0.55,MN,1694624925
50,puerto ayora,-0.7393,-90.3518,28.98,84,97,3.58,EC,1694624925
51,st. paul,44.9444,-93.0933,17.16,55,0,2.57,US,1694624731
52,grytviken,-54.2811,-36.5092,-8.69,66,26,2.32,GS,1694624925
53,carnarvon,-24.8667,113.6333,19.76,72,52,5.79,AU,1694624926
54,tralee,52.2704,-9.7026,17.14,88,100,6.17,IE,1694624926
55,saint-philippe,-21.3585,55.7679,22.77,83,54,5.04,RE,1694624926
